symbol,name,industry,supersector,sector,subsector,listing_date,issue_share,listed_value,market_cap
FHN,Hanoi Food Import - Export Joint Stock Company,Consumer Services,Retail,Food & Drug Retailers,Food Retailers & Wholesalers,2017-12-29,3000000.0,3000000.0,45000000000.0
FHS,Ho Chi Minh City Book Distribution Corporation,Consumer Services,Media,Media,Publishing,2018-11-01,12751462.0,12751462.0,358953655300.0
FIC,FICO Corporation - JSC,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2018-08-02,127000000.0,127000000.0,3276600000000.0
FID,Vietnam Enterprise Investment and Development Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Services,2015-05-20,24715958.0,24715958.0,39545532800.0
FIR,First Real Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2018-10-18,53537860.0,53537860.0,2232528762000.0
FIT,F.I.T Group Joint Stock Company,Financials,Financial Services,Financial Services,Specialty Finance,2013-07-26,339933034.0,339933034.0,1424319412460.0
FLC,FLC Group Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2011-10-05,709997807.0,709997807.0,2484992324500.0
FMC,Sao Ta Foods Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2006-12-07,65388889.0,65388889.0,2566513893250.0
FOC,FPT Online Service Joint Stock Company,Consumer Services,Media,Media,Media Agencies,2018-12-10,18471275.0,18471275.0,1945839705992.0
FOX,FPT Telecom,Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications,2017-01-13,328339538.0,328339538.0,18586316227566.0
FPT,FPT Corporation,Technology,Technology,Software & Computer Services,Software,2006-12-13,1097026572.0,1097026572.0,88310639046000.0
FRC,Forest Products Export Joint Stock Company of Quang Nam,Basic Materials,Basic Resources,Forestry & Paper,Forestry,2018-07-26,3000000.0,3000000.0,96000000000.0
FRM,Saigon Forestry Import Export Joint Stock Company,Basic Materials,Basic Resources,Forestry & Paper,Forestry,2017-11-24,11700000.0,11700000.0,99450000000.0
FRT,FPT Digital Retail Joint Stock Company,Consumer Services,Retail,General Retailers,Specialty Retailers,2018-04-26,118472535.0,118472535.0,7700714775000.0
FSO,Vietnam Fishery Mechanical Shipbuilding Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Engineering,Commercial Vehicles & Trucks,2017-02-06,5624966.0,5624966.0,61874626000.0
FT1,Machinery Spare Parts N01 Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery,2017-09-27,7079853.0,7079853.0,318593385000.0
FTI,Friendship Trading - Industrial Joint Stock Company,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Auto Parts,2017-10-27,3943710.0,3943710.0,14569823000.0
FTM,Duc Quan Investment and Development Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2017-02-06,50000000.0,50000000.0,69750000000.0
FTS,FPT Securities Joint Stock Company,Financials,Financial Services,Financial Services,Investment Services,2017-01-13,195059951.0,195059951.0,5227606686800.0
G20,Vinh Phuc Textile Investment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2015-03-09,14400000.0,14400000.0,7200000000.0
G36,36 Corporation,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2016-12-26,101756575.0,101756575.0,704562525300.0
GAB,FLC Mining Investment & Asset Management Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2019-07-11,14903987.0,14903987.0,2927143046800.0
GAS,PetroVietnam Gas Joint Stock Corporation,Utilities,Utilities,"Gas, Water & Multi-utilities",Gas Distribution,2012-05-21,1913950000.0,1913950000.0,195031505000000.0
GCB,PETEC Binh Dinh Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Gas Distribution,2016-12-28,4039147.0,4039147.0,65030266700.0
GCF,G.C Food Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2022-12-20,30679999.0,30679999.0,437588825737.0
GDT,Duc Thanh Wood Processing Joint Stock Company,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,Furnishings,2009-11-17,21683417.0,21683417.0,612141665700.0
GDW,Gia Dinh Wasuco Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2010-06-15,9500000.0,9500000.0,274550000000.0
GEE,GELEX Electricity Joint Stock Company,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment,2022-03-08,300000000.0,300000000.0,7860000000000.0
GEG,Gia Lai Electricity Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2017-03-21,321936902.0,321936902.0,4732472459400.0
GER,Geru Star Sport Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2010-06-01,2200000.0,2200000.0,19580000000.0
GEX,Gelex Group Joint Stock Company,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment,2015-10-26,851495793.0,851495793.0,11197169677950.0
GGG,GiaiPhong Motor Joint Stock Company,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles,2009-10-12,29388589.0,29388589.0,111676638200.0
GH3,Ha Noi Transport Project Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2021-08-04,11500000.0,11500000.0,144886392000.0
GHC,Gia Lai Hydropower Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2011-04-26,47662500.0,47662500.0,1272731737500.0
GIC,Green Development And Investment Service Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2020-11-06,12120000.0,12120000.0,159984000000.0
GIL,Binh Thanh Import Export Production and Trade Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2002-01-02,70000000.0,70000000.0,1434985363000.0
GKM,Khang Minh Group Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2017-07-17,26195240.0,26195240.0,953506736000.0
GLC,Lao Cai Gold Joint Stock Company,Basic Materials,Basic Resources,Mining,Gold Mining,2019-01-09,10500000.0,10500000.0,105000000000.0
GLT,Global Electrical Technology Corporation,Consumer Goods,Personal & Household Goods,Leisure Goods,Consumer Electronics,2009-11-26,9236446.0,9236446.0,206615131800.0
GLW,Gia Lai Water Supply Sewerage  Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2018-01-08,18000000.0,18000000.0,136800000000.0
GMA,G-Automobile Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery,2020-12-01,19999999.0,19999999.0,887999955600.0
GMC,Garmex Saigon Coporation,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2006-12-22,33000259.0,33000259.0,295899971020.0
GMD,Gemadept Corporation,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2002-04-22,301377957.0,301377957.0,16093582903800.0
GMH,Quang Tri Minh Hung Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2022-01-12,16500000.0,16500000.0,160050000000.0
GMX,My Xuan Brick Tile Pottery and Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2011-09-15,9040697.0,9040697.0,185206245500.0
GND,Dong Nai Brick and Tile Corporation,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2017-02-21,9000000.0,9000000.0,224100000000.0
GPC,Green Plus Joint Stock Corporation,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,2023-01-06,41594000.0,41594000.0,282839200000.0
GSM,Huong Son Hydro Power Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2015-04-08,28562000.0,28562000.0,428430000000.0
GSP,International Gas Product Shipping Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Marine Transportation,2012-03-09,55799445.0,55799445.0,613793895000.0
GTA,Thuan An Wood Processing Joint Stock Company,Basic Materials,Basic Resources,Forestry & Paper,Forestry,2007-07-23,10400000.0,10400000.0,128773000000.0
GTD,Thuong Dinh Footwear Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Footwear,2016-12-16,9300000.0,9300000.0,130200000000.0
GTH,Thua Thien Hue Construction Transportation Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2009-10-28,2735500.0,2735500.0,6912608500.0
GTS,Saigon Traffic Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2016-10-21,28499764.0,28499764.0,282147663600.0
GTT,Thuan Thao Corporation,Consumer Services,Travel & Leisure,Travel & Leisure,Recreational Services,2010-06-30,43503000.0,43503000.0,21751500000.0
GVR,Viet Nam Rubber Group - Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2018-03-21,4000000000.0,4000000000.0,63800000000000.0
GVT,Viettri Paper Joint Stock Company,Basic Materials,Basic Resources,Forestry & Paper,Paper,2017-01-12,11605100.0,11605100.0,1056064100000.0
H11,HUD101 Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2011-04-28,1060000.0,1060000.0,7738000000.0
HAC,Hai Phong Securities Joint Stock Company,Financials,Financial Services,Financial Services,Investment Services,2016-10-18,29181096.0,29181096.0,165196720180.0
HAD,Hanoi - Haiduong Beer Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2009-10-27,4000000.0,4000000.0,60800000000.0
HAF,Hanoi Foodstuff Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2017-07-24,14500000.0,14500000.0,239250000000.0
HAG,Hoang Anh Gia Lai Corporation,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2008-12-22,927467947.0,927467947.0,7094604514950.0
HAH,Hai An Transport and Stevedoring Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2015-03-11,70344667.0,70344667.0,2606269912350.0
HAI,HAI AGROCHEM Joint Stock Company,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,2006-12-27,182682799.0,182682799.0,288638822420.0
HAM,Hau Giang Materials Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2017-08-21,9338061.0,9338061.0,240951525000.0
HAN,Hanoi Construction Corporation,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2016-10-20,141048000.0,141048000.0,1059129432000.0
HAP,Hapaco Group Joint Stock Company,Basic Materials,Basic Resources,Forestry & Paper,Paper,2000-08-04,111097772.0,111097772.0,471504783500.0
HAR,An Duong Thao Dien Real Estate Trade Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2013-01-17,101350100.0,101350100.0,369340587400.0
HAS,Hacisco Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2002-12-19,8000000.0,8000000.0,61230000000.0
HAT,Hanoi Beer Trading Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2010-10-29,3123000.0,3123000.0,79636500000.0
HAV,Hapro Vodka Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Distillers & Vintners,2017-11-30,3297860.0,3297860.0,10114536620.0
HAX,Hang Xanh Motors Service Joint Stock Company,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles,2006-12-26,71943434.0,71943434.0,1294981812000.0
HBC,Hoa Binh Construction Group Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2006-12-27,274133270.0,274133270.0,2330132795000.0
HBD,Binh Duong PP Pack Making Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2006-12-29,2011100.0,2011100.0,36564480000.0
HBH,HABECO - Hai Phong Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2017-08-10,16000000.0,16000000.0,115200000000.0
HBS,Hoa Binh Securities Joint Stock Company,Financials,Financial Services,Financial Services,Investment Services,2010-07-16,32999980.0,32999980.0,178199892000.0
HC1,Hanoi Construction Joint Stock Company No.1,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2020-01-06,8000000.0,8000000.0,120000000000.0
HC3,HaiPhong Construction Joint Stock Corporation No3,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-07-11,20685717.0,20685717.0,626777225100.0
HCB,March 29 Textile Garment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2019-12-18,5199274.0,5199274.0,100865915600.0
HCC,Intimex - Hoa Cam Concrete Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2007-12-24,6518586.0,6518586.0,71704017000.0
HCD,HCD Investment Producing And Trading Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2016-07-04,31589802.0,31589802.0,205017814980.0
HCI,Ha Noi Construction Investment Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2010-09-17,5232000.0,5232000.0,92606400000.0
HCM,Ho Chi Minh City Securities Corporation,Financials,Financial Services,Financial Services,Investment Services,2009-05-19,458052367.0,458052367.0,12207559038300.0
HCT,Hai Phong Cement Transport And Trading Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Trucking,2007-11-27,2016385.0,2016385.0,34278545000.0
HD2,Housing Development Invesment Joint Stock Company HUD2,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2016-05-16,8962353.0,8962353.0,183701349441.0
HD6,Hanoi Housing Development and Investment Joint Stock Company No. 6,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2020-11-23,14400000.0,14400000.0,202665600000.0
HD8,HUD8 City and Housing Development Investment Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2019-03-15,10000000.0,10000000.0,72000000000.0
HDA,Dong A Paint Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2010-12-27,27599967.0,27599967.0,124199851500.0
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,Banks,Banks,Banks,Banks,2018-01-05,2530342922.0,2530342922.0,48167255810000.0
HDC,Ba Ria - Vung Tau House Development Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2007-10-08,108085693.0,108085693.0,3615466430850.0
HDG,Ha Do Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2010-02-02,244605898.0,244605898.0,7656164607400.0
HDM,Hue Textile Garment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2010-01-21,15224701.0,15224701.0,501745246156.0
HDO,Hung Dao Container Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2010-06-17,16959879.0,16959879.0,10091927400.0
HDP,HaTinh Pharmaceutical Joint Stock Company,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,2017-03-16,9934418.0,9934418.0,141068735600.0
HDW,Hai Duong Water Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2017-11-03,31882470.0,31882470.0,376213146000.0
HEC,Hydraulic Engineering Consultant Corporation II,Industrials,Industrial Goods & Services,Support Services,Business Support Services,2016-12-21,6000000.0,6000000.0,306000000000.0
HEJ,Vietnam Hydraulic Engineering Consultants Corporation - JSC,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-07-14,4400000.0,4400000.0,55880000000.0
HEM,Hanoi Electromechanical Manufacturing Joint Stock Company,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electronic Equipment,2017-01-03,38704650.0,38704650.0,642497190000.0
HEP,Hue Urban Environment and Public Works Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Waste & Disposal Services,2017-12-15,6000000.0,6000000.0,70500000000.0
HES,Ha Noi Entertaiment Services Corporation,Consumer Services,Travel & Leisure,Travel & Leisure,Recreational Services,2016-12-07,9297450.0,9297450.0,208200160000.0
HEV,Higher Education And Vocational Book Joint Stock Company,Consumer Services,Media,Media,Publishing,2007-12-11,1000000.0,1000000.0,34000000000.0
HFB,Ho Chi Minh City Ferry Bridge Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-03-30,9100000.0,9100000.0,225680000000.0
HFC,HFC Petroleum Corporation,Utilities,Utilities,"Gas, Water & Multi-utilities",Gas Distribution,2010-03-01,8198105.0,8198105.0,65584840000.0
HFX,Thanh Ha Production and Import - Export Joint Stock Company,Consumer Services,Retail,General Retailers,Broadline Retailers,2011-11-10,1270000.0,1270000.0,10922000000.0
HGM,Ha Giang Mineral and Mechanics Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2009-12-21,12600000.0,12600000.0,578154920000.0
HGT,Huong Giang Tourist Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,2020-10-15,20000000.0,20000000.0,194000000000.0
HGW,Hau Giang Water Supply and Sewerage - Projects Urban Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2017-01-11,24878291.0,24878291.0,223904619000.0
HHC,Hai Ha Confectionery Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2007-11-20,16425000.0,16425000.0,1511100000000.0
HHG,Hoang Ha Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,2010-07-28,34896354.0,34896354.0,45365260200.0
HHN,Ha Noi Goods Services and Transport Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2016-12-16,1440000.0,1440000.0,12528000000.0
HHP,Hai Phong Hoang Ha Paper Joint Stock Company,Basic Materials,Basic Resources,Forestry & Paper,Paper,2018-08-08,32023810.0,32023810.0,532784527900.0
HHR,Ha Hai Railway Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Railroads,2017-02-17,1380000.0,1380000.0,552000000.0
HHS,Hoang Huy Investment Services Joint Stock Company,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles,2012-02-15,321448153.0,321448153.0,1404728428610.0
HHV,Deo Ca Traffic Infrastructure Investment Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2015-12-18,307804450.0,307804450.0,4278481855000.0
HID,Halcom Vietnam Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2016-07-11,76765032.0,76765032.0,225663583740.0
HIG,HIPT Group Joint Stock Company,Technology,Technology,Software & Computer Services,Software,2009-06-24,22559030.0,22559030.0,169192725000.0
HII,An Tien Industries Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2017-06-22,73663016.0,73663016.0,297598584640.0
HJC,Hoa Viet Joint Stock Company,Consumer Goods,Personal & Household Goods,Tobacco,Tobacco,2015-10-14,12853052.0,12853052.0,118248078400.0
HJS,Nam Mu Hydropower Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2006-12-20,20999900.0,20999900.0,776996300000.0
HKB,Ha Noi - Kinh bac Agriculture and Food Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2015-04-08,51599999.0,51599999.0,30959999400.0
HKP,Hatien Packaging Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2016-04-08,4000000.0,4000000.0,124800000000.0
HKT,Ego Viet Nam Investment Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Soft Drinks,2017-01-12,6135029.0,6135029.0,42331700100.0
HLA,Asia Huu Lien Joint Stock Company,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2008-10-30,34459293.0,34459293.0,17221496500.0
HLB,Halong Beer and Beverage Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Brewers,2017-02-08,3090000.0,3090000.0,834300000000.0
HLC,Ha Lam -  Vinacomin Coal Joint Stock Company,Basic Materials,Basic Resources,Mining,Coal,2009-03-05,25415199.0,25415199.0,261776549700.0
HLD,HUDLAND Real Estate Investment and Development Joint,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2013-03-26,20000000.0,20000000.0,556000000000.0
HLG,HOANG LONG Group,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2009-09-09,44375385.0,44375385.0,375915772500.0
HLR,Ha Lang Railways Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Railroads,2016-11-28,1650000.0,1650000.0,26895000000.0
HLS,Hoang Lien Son Technical Ceramic Joint Stock Company,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment,2017-10-16,9628634.0,9628634.0,240715850000.0
HLT,Hoang Thi Loan Textile - Garment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2019-12-27,5500000.0,5500000.0,101750000000.0
HLY,Yen Hung Construction Ceramic Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2006-12-04,1000000.0,1000000.0,14198651000.0
HMC,VNSTEEL - Ho Chi Minh City Metal Corporation,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2006-12-21,27299999.0,27299999.0,281189989700.0
HMG,VNSTEEL - Hanoi Steel Corporation,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2016-09-09,9000000.0,9000000.0,91800000000.0
HMH,Hai Minh Corporation,Industrials,Industrial Goods & Services,Industrial Transportation,Trucking,2010-07-28,13199847.0,13199847.0,136185058200.0
HMR,Hoang Mai Stone Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2022-01-13,5612444.0,5612444.0,40409596800.0
HMS,Hochiminh Museum Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-06-05,9200000.0,9200000.0,231379597600.0
HNA,Hua Na Hydropower Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2017-10-05,235232210.0,235232210.0,4364733656550.0
HNB,Ha Noi Transport Station Joint Stock Company,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services,2015-10-22,9500000.0,9500000.0,160550000000.0
HND,Hai Phong Thermal power Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2016-10-05,500000000.0,500000000.0,7050000000000.0
HNF,Huu Nghi Food Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2015-11-03,30000000.0,30000000.0,575130000000.0
HNG,Hoang Anh Gia Lai Agricultural Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2015-07-20,1108553895.0,1108553895.0,5077176839100.0
HNI,Huu Nghi Garment Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2017-12-12,23778900.0,23778900.0,596822780000.0
HNM,Ha Noi Milk Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2006-12-27,20000000.0,20000000.0,169720000000.0
HNP,Hanel Plastics Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2016-12-20,5000000.0,5000000.0,110000000000.0
HNR,Hanoi Liquor And Beverage Joint Stock Company,Consumer Goods,Food & Beverage,Beverages,Distillers & Vintners,2018-06-08,20000000.0,20000000.0,240000000000.0
HOM,VICEM Hoang Mai Cement Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2009-07-09,74769131.0,74769131.0,338389335700.0
HOT,Hoi An Tourist Service Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,2011-07-21,8000000.0,8000000.0,159998740000.0
HPB,PP Pack Making Joint Stock Company,Industrials,Industrial Goods & Services,General Industrials,Containers & Packaging,2010-04-29,3880000.0,3880000.0,65463880000.0
HPD,Dak Doa Hydropower Joint Stock Company,Utilities,Utilities,Electricity,Conventional Electricity,2015-06-11,8306590.0,8306590.0,159486528000.0
HPG,Hoa Phat Group Joint Stock Company,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2007-11-15,5814785700.0,5814785700.0,122691978270000.0
HPH,Ha Bac Hung Phat Chemical Joint Stock Company,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,2017-12-28,8400000.0,8400000.0,139440000000.0
HPI,Hiep Phuoc Industrial Park Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2017-10-05,60000000.0,60000000.0,2010000000000.0
HPM,Hoang Phuc Mineral Trading and Contruction Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2016-01-18,3800000.0,3800000.0,68400000000.0
HPP,Hai Phong Paint Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2010-08-05,8007177.0,8007177.0,439041926708.0
HPT,HPT Vietnam Corporation,Technology,Technology,Software & Computer Services,Software,2010-06-17,9084101.0,9084101.0,109819824300.0
HPW,Hai Phong Water Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Water,2016-11-21,74206940.0,74206940.0,1286228891020.0
HPX,Hai Phat Investment Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2018-07-24,304168581.0,304168581.0,1286633097630.0
HQC,Hoang Quan Consulting Trading Service Real Estate Corporation,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2010-10-20,476600000.0,476600000.0,1987418972580.0
HRB,Harec Investment and Trade Joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2017-11-06,6338400.0,6338400.0,233253120000.0
HRC,Hoa Binh Rubber Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2006-12-26,30206622.0,30206622.0,1646260899000.0
HRT,Hanoi Railway Transport Joint Stock Company,Consumer Services,Travel & Leisure,Travel & Leisure,Travel & Tourism,2016-09-15,80058970.0,80058970.0,376277159000.0
HSA,HESTIA Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Business Support Services,2017-01-23,7872727.0,7872727.0,407019985900.0
HSG,Hoa Sen Group,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2008-12-05,598054986.0,598054986.0,9838004519700.0
HSI,General Materials Biochemistry Fertilizer Joint Stock Company,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,2007-12-21,10000000.0,10000000.0,8897031000.0
HSL,Hong Ha Food Investment Development Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Food Products,2018-05-10,35383508.0,35383508.0,186824922240.0
HSM,HaNoi Textile And Garment Joint Stock Corporation,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2018-04-19,20500000.0,20500000.0,147600000000.0
HSP,Ha Noi Synthetic Paint Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2020-03-30,12027086.0,12027086.0,84189602000.0
HSV,HSV Viet Nam Group Joint Stock Company,Basic Materials,Basic Resources,Industrial Metals & Mining,Steel,2021-04-27,15749994.0,15749994.0,59723977248.0
HT1,VICEM Ha Tien Cement Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2007-11-13,381589911.0,381589911.0,5952802611600.0
HTC,Hocmon Trade Joint Stock Company,Utilities,Utilities,"Gas, Water & Multi-utilities",Gas Distribution,2010-05-07,16499993.0,16499993.0,303599871200.0
HTE,Ho Chi Minh City Electric Power Trading Investment Corporation,Utilities,Utilities,Electricity,Conventional Electricity,2017-07-24,23608165.0,23608165.0,84583586985.0
HTG,Hoa Tho Textile - Garment Joint Sock Corporation,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2017-06-14,30003075.0,30003075.0,1116534433050.0
HTI,IDICO Infrastructure Development Investment Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2010-12-20,24949200.0,24949200.0,412909260000.0
HTL,Truong Long Engineering and Auto Joint Stock Company,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Automobiles,2011-01-10,12000000.0,12000000.0,226800000000.0
