id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,senate_class,state_rank,lis_id
D000203,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000203.,Eligio,'Kiki',de la Garza,,1927-09-22,M,D,,,,,403308,,,10716,,,,,,,False,,,,24,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:tx/cd:15,,,,TX,15,False,4815,,,
D000209,Delegate,Del.,https://api.propublica.org/congress/v1/members/D000209.,Ron,,de Lugo,,1930-08-02,M,D,,,,,403314,,,14081,,,,,,,False,,,,14,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:vi/cd:79,,,,VI,At-Large,True,7898,,,
D000191,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000191.,Peter,A.,DeFazio,,1947-05-27,M,D,,RepPeterDeFazio,RepPeterDeFazio,PeterDeFazio,400100,6068,27037,15410,N00007781,/m/033ttx,,https://defazio.house.gov,https://defazio.house.gov/rss.xml,,False,,,,2,,,,2021-03-02 02:35:31 -0500,ocd-division/country:us/state:or/cd:4,,,,OR,4,False,4104,,,
D000217,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000217.,Thomas,Dale,DeLay,,1947-04-08,M,R,,,,,400104,,,15211,,,,,,,False,,,,4,,,,2013-04-12 20:12:02 -0400,ocd-division/country:us/state:tx/cd:22,,,,TX,22,False,4822,,,
D000222,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000222.,Ronald,V.,Dellums,,1935-11-24,M,D,,,,,403364,,,13011,,,,,,,False,,,,18,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:ca/cd:8,,,,CA,8,False,0608,,,
D000267,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000267.,Butler,C.,Derrick,,1936-09-30,M,D,,,,,403403,,,14212,,,,,,,False,,,,14,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:sc/cd:3,,,,SC,3,False,4503,,,
D000294,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000294.,Michael,,DeWine,,1947-01-05,M,R,,,,,300033,,,15019,,,,,,,False,,,,6,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:oh/cd:7,,,,OH,7,False,3907,,,
D000326,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000326.,William,Louis,Dickinson,,1925-06-05,M,R,,,,,403446,,,10717,,,,,,,False,,,,24,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:al/cd:2,,,,AL,2,False,0102,,,
D000327,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000327.,Norman,D.,Dicks,,1940-12-16,M,D,,RepNormDicks,,RepNormDicks,400109,8131,,14413,,,,,,,False,,,,12,,,,2016-05-03 15:22:16 -0400,ocd-division/country:us/state:wa/cd:6,,,,WA,6,False,5306,,,
D000355,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000355.,John,D.,Dingell,,1926-07-08,M,D,,John_Dingell,johndingell,,400110,470,,2605,,/m/0226cw,,http://dingell.house.gov,,,False,,,,34,,,,2016-06-14 16:30:49 -0400,ocd-division/country:us/state:mi/cd:16,,,,MI,16,False,2616,,,
D000359,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000359.,Joseph,J.,DioGuardi,,1940-09-20,M,R,,,,,403476,,,15212,,,,,,,False,,,,4,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ny/cd:20,,,,NY,20,False,3620,,,
D000373,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000373.,Julian,C.,Dixon,,1934-08-08,M,D,,,,,400580,,,14620,,,,,,,False,,,,10,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:ca/cd:28,,,,CA,28,False,0628,,,
D000416,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000416.,Brian,Joseph,Donnelly,,1946-03-02,,D,,,,,403529,,,14621,,,,,,,False,,,,10,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ma/cd:11,,,,MA,11,False,2511,,,
D000432,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000432.,Byron,L.,Dorgan,,1942-05-14,M,D,,,,senatordorgan,300037,2318,,14812,,/m/021fyn,,,,,False,,,,8,,,,2016-06-14 16:30:50 -0400,ocd-division/country:us/state:nd/cd:1,,,,ND,At-Large,True,3800,,,
D000435,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000435.,Robert,K.,Dornan,,1933-04-03,M,R,,,,,403545,,,14414,,,,,,,False,,,,10,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:ca/cd:38,,,,CA,38,False,0638,,,
D000466,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000466.,Charles,Wayne,Dowdy,,1943-07-27,M,D,,,,,403576,,,14874,,,,,,,False,,,,8,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ms/cd:4,,,,MS,4,False,2804,,,
D000471,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000471.,Thomas,Joseph,Downey,,1949-01-28,M,D,,,,,403581,,,14214,,,,,,,False,,,,14,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ny/cd:2,,,,NY,2,False,3602,,,
D000492,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000492.,David,,Dreier,,1952-07-05,M,R,,,,RepDavidDreier,400115,,,14813,,/m/024thx,,,,,False,,,,8,,,,2016-06-14 16:30:51 -0400,ocd-division/country:us/state:ca/cd:33,,,,CA,33,False,0633,,,
D000534,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000534.,John,James,Duncan,,1919-03-24,M,R,,,,,403641,,,10719,,,,,,,False,,,,24,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:tn/cd:2,,,,TN,2,False,4702,,,
D000563,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000563.,Richard,J.,Durbin,,1944-11-21,M,D,,SenatorDurbin,SenatorDurbin,SenatorDurbin,300038,6741,26847,15021,N00004981,/m/01xcd1,,https://www.durbin.senate.gov,,,False,,,,6,,,,2019-11-18 02:30:23 -0500,ocd-division/country:us/state:il/cd:20,,,,IL,20,False,1720,,,
D000586,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000586.,Bernard,James,Dwyer,,1921-01-24,,D,,,,,403689,,,14815,,,,,,,False,,,,8,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:nj/cd:6,,,,NJ,6,False,3406,,,
D000592,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000592.,Mervyn,Malcolm,Dymally,,1926-05-12,,D,,,,,403695,,,14816,,,,,,,False,,,,8,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ca/cd:31,,,,CA,31,False,0631,,,
D000593,Representative,Rep.,https://api.propublica.org/congress/v1/members/D000593.,Royden,Patrick,Dyson,,1948-11-15,,D,,,,,403696,,,14817,,,,,,,False,,,,8,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:md/cd:1,,,,MD,1,False,2401,,,
E000013,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000013.,Joseph,Daniel,Early,,1933-01-31,M,D,,,,,403709,,,14216,,,,,,,False,,,,14,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ma/cd:3,,,,MA,3,False,2503,,,
E000031,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000031.,Dennis,Edward,Eckart,,1950-04-06,,D,,,,,403726,,,14818,,,,,,,False,,,,8,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:oh/cd:11,,,,OH,11,False,3911,,,
E000064,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000064.,Don,,Edwards,,1915-01-06,M,D,,,,,403776,,,10583,,,,,,,False,,,,26,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:ca/cd:10,,,,CA,10,False,0610,,,
E000077,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000077.,Marvin,Henry,Edwards,,1937-07-12,,R,,,,,403769,,,14415,,,,,,,False,,,,12,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ok/cd:5,,,,OK,5,False,4005,,,
E000174,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000174.,Bill,,Emerson,,1938-01-01,M,R,,,,,403864,,,14819,,,,,,,False,,,,8,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:mo/cd:8,,,,MO,8,False,2908,,,
E000184,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000184.,Glenn,Lee,English,,1940-11-30,M,D,,,,,403873,,,14219,,,,,,,False,,,,14,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:ok/cd:6,,,,OK,6,False,4006,,,
E000201,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000201.,Ben,,Erdreich,,1938-12-09,,D,,,,,403888,,,15021,,,,,,,False,,,,6,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:al/cd:6,,,,AL,6,False,0106,,,
E000218,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000218.,Mike,,Espy,,1953-11-30,M,D,,,,,403904,,,15410,,,,,,,False,,,,2,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:ms/cd:2,,,,MS,2,False,2802,,,
E000250,Representative,Rep.,https://api.propublica.org/congress/v1/members/E000250.,Lane,A.,Evans,,1951-08-04,M,D,,,,,400126,,,15022,,,,,,,False,,,,6,,,,2013-04-12 20:12:02 -0400,ocd-division/country:us/state:il/cd:17,,,,IL,17,False,1717,,,
F000041,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000041.,Dante,Bruno,Fascell,,1917-03-09,,D,,,,,404002,,,3078,,,,,,,False,,,,34,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:fl/cd:19,,,,FL,19,False,1219,,,
F000046,Delegate,Del.,https://api.propublica.org/congress/v1/members/F000046.,Walter,Edward,Fauntroy,,1933-02-06,M,D,,,,,404006,,,13060,,,,,,,False,,,,18,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:dc/cd:79,,,,DC,At-Large,True,1198,,,
F000049,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000049.,Harris,W.,Fawell,,1929-03-25,M,R,,,,,404009,,,15214,,,,,,,False,,,,4,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:il/cd:13,,,,IL,13,False,1713,,,
F000053,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000053.,Vic,,Fazio,,1942-10-11,M,D,,,,,404013,,,14624,,,,,,,False,,,,10,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:ca/cd:4,,,,CA,4,False,0604,,,
F000059,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000059.,Edward,Farrell,Feighan,,1947-10-22,M,D,,,,,404019,,,15023,,,,,,,False,,,,6,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:oh/cd:19,,,,OH,19,False,3919,,,
F000111,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000111.,Jack,Milton,Fields,,1952-02-03,M,R,,,,,404068,,,14822,,,,,,,False,,,,8,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:tx/cd:8,,,,TX,8,False,4808,,,
F000141,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000141.,Hamilton,,Fish,Jr.,1926-06-03,M,R,,,,,404097,,,12013,,,,,,,False,,,,20,,,,2017-11-29 06:35:52 -0500,ocd-division/country:us/state:ny/cd:21,,,,NY,21,False,3621,,,
F000184,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000184.,Floyd,H.,Flake,,1945-01-30,M,D,,,,,404139,,,15411,,,,,,,False,,,,2,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:ny/cd:6,,,,NY,6,False,3606,,,
F000208,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000208.,Ronnie,Gene,Flippo,,1937-08-15,,D,,,,,404163,,,14419,,,,,,,False,,,,12,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:al/cd:5,,,,AL,5,False,0105,,,
F000215,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000215.,James,Joseph,Florio,,1937-08-29,M,D,,,,,404170,,,14223,,,,,,,False,,,,14,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:nj/cd:1,,,,NJ,1,False,3401,,,
F000235,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000235.,Tom,,Foglietta,,1928-12-03,M,D,,,,,404190,,,14823,,,,,,,False,,,,8,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:pa/cd:1,,,,PA,1,False,4201,,,
F000239,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000239.,Thomas,S.,Foley,,1929-03-06,M,D,,,,,404193,,,10726,,,,,,,False,,,,24,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:wa/cd:5,,,,WA,5,False,5305,,,
F000270,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000270.,William,D.,Ford,,1927-08-06,M,D,,,,,404220,,,10727,,,,,,,False,,,,24,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:mi/cd:15,,,,MI,15,False,2615,,,
F000261,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000261.,Harold,E.,Ford,,1945-05-20,M,D,,,,,404213,,,14224,,,,,,,False,,,,14,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:tn/cd:9,,,,TN,9,False,4709,,,
F000339,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000339.,Barney,,Frank,,1940-03-31,M,D,,,,barneyfrank,400140,,,14824,,/m/0d0lx0,,,,,False,,,,8,,,,2016-06-14 16:31:06 -0400,ocd-division/country:us/state:ma/cd:4,,,,MA,4,False,2504,,,
F000380,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000380.,William,Eldridge,Frenzel,,1928-07-31,M,R,,,,,404325,,,13015,,,,,,,False,,,,18,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:mn/cd:3,,,,MN,3,False,2703,,,
F000392,Representative,Rep.,https://api.propublica.org/congress/v1/members/F000392.,Martin,,Frost,,1942-01-01,M,D,,,,,400143,,,14626,,,,,,,False,,,,10,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:tx/cd:24,,,,TX,24,False,4824,,,
F000435,Resident Commissioner,R.C.,https://api.propublica.org/congress/v1/members/F000435.,Jaime,B.,Fuster,,1941-01-12,M,D,,,,,404376,,,15262,,,,,,,False,,,,4,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:pr/cd:80,,,,PR,At-Large,True,7298,,,
G000021,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000021.,Elton,,Gallegly,,1944-03-07,M,R,,eltongallegly24,,,400144,6712,,15412,,/m/024tft,,,,,False,,,,2,,,,2016-06-14 16:31:11 -0400,ocd-division/country:us/state:ca/cd:21,,,,CA,21,False,0621,,,
G000025,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000025.,Dean,A.,Gallo,,1935-11-23,M,R,,,,,404401,,,15215,,,,,,,False,,,,4,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:nj/cd:11,,,,NJ,11,False,3411,,,
G000047,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000047.,Robert,,Garcia,,1933-01-09,M,D,,,,,404422,,,14470,,,,,,,False,,,,12,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ny/cd:18,,,,NY,18,False,3618,,,
G000105,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000105.,Joseph,Matthew,Gaydos,,1926-07-03,M,D,,,,,404477,,,11067,,,,,,,False,,,,22,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:pa/cd:20,,,,PA,20,False,4220,,,
G000120,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000120.,Sam,,Gejdenson,,1948-05-20,M,D,,,,,400585,,,14825,,,,,,,False,,,,8,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:ct/cd:2,,,,CT,2,False,0902,,,
G000121,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000121.,George,W.,Gekas,,1930-04-14,M,R,,,,,400544,,,15025,,,,,,,False,,,,6,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:pa/cd:17,,,,PA,17,False,4217,,,
G000132,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000132.,Richard,Andrew,Gephardt,,1941-01-31,M,D,,,,,400146,,,14421,,,,,,,False,,,,12,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:mo/cd:3,,,,MO,3,False,2903,,,
G000153,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000153.,Sam,,Gibbons,,1920-01-20,M,D,,,,,404520,,,10588,,,,,,,False,,,,26,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:fl/cd:7,,,,FL,7,False,1207,,,
G000212,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000212.,Benjamin,A.,Gilman,,1922-12-06,M,R,,,,,400536,,,14015,,,,,,,False,,,,16,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:ny/cd:22,,,,NY,22,False,3622,,,
G000225,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000225.,Newt,,Gingrich,,1943-06-17,M,R,,,,,404587,,,14627,,,,,,,False,,,,10,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:ga/cd:6,,,,GA,6,False,1306,,,
G000240,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000240.,Dan,,Glickman,,1944-11-24,M,D,,,,,404602,,,14422,,,,,,,False,,,,12,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:ks/cd:4,,,,KS,4,False,2004,,,
G000272,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000272.,Henry,B.,Gonzalez,,1916-05-03,M,D,,,,,404634,,,10520,,,,,,,False,,,,28,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:tx/cd:20,,,,TX,20,False,4820,,,
G000291,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000291.,William,F.,Goodling,,1927-12-05,M,R,,,,,400586,,,14288,,,,,,,False,,,,14,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:pa/cd:19,,,,PA,19,False,4219,,,
G000309,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000309.,Bart,,Gordon,,1949-01-24,M,D,,,,repbartgordon,400155,5452,,15216,,/m/03tm06,,,,,False,,,,4,,,,2016-06-14 16:31:11 -0400,ocd-division/country:us/state:tn/cd:6,,,,TN,6,False,4706,,,
G000349,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000349.,Willis,D.,Gradison,Jr.,1928-12-28,M,R,,,,,404705,,,14225,,,,,,,False,,,,14,,,,2017-11-29 06:35:53 -0500,ocd-division/country:us/state:oh/cd:2,,,,OH,2,False,3902,,,
G000371,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000371.,Fred,,Grandy,,1948-06-29,M,R,,,,,404723,,,15413,,,,,,,False,,,,2,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:ia/cd:6,,,,IA,6,False,1906,,,
G000382,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000382.,James,William,Grant,,1943-09-21,M,D,,,,,404733,,,15414,,,,,,,False,,,,2,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:fl/cd:2,,,,FL,2,False,1202,,,
G000400,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000400.,Kenneth,James,Gray,,1924-11-14,M,D,,,,,404750,,,3769,,,,,,,False,,,,24,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:il/cd:22,,,,IL,22,False,1722,,,
G000402,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000402.,William,Herbert,Gray,,1941-08-20,M,D,,,,,404752,,,14629,,,,,,,False,,,,10,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:pa/cd:2,,,,PA,2,False,4202,,,
G000417,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000417.,Sedgwick,William,Green,,1929-10-16,,R,,,,,404765,,,14471,,,,,,,False,,,,12,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ny/cd:15,,,,NY,15,False,3615,,,
G000445,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000445.,Judd,,Gregg,,1947-02-14,M,R,,,,,300049,,,14826,,/m/0206mj,,,,,False,,,,8,,,,2016-06-14 16:31:13 -0400,ocd-division/country:us/state:nh/cd:2,,,,NH,2,False,3302,,,
G000511,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000511.,Frank,Joseph,Guarini,,1924-08-20,M,D,,,,,404856,,,14631,,,,,,,False,,,,10,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:nj/cd:14,,,,NJ,14,False,3414,,,
G000524,Representative,Rep.,https://api.propublica.org/congress/v1/members/G000524.,Steve,,Gunderson,,1951-05-10,M,R,,,,,404869,,,14827,,,,,,,False,,,,8,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:wi/cd:3,,,,WI,3,False,5503,,,
H000067,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000067.,Ralph,M.,Hall,,1923-05-03,M,D,,RalphHallPress,6311458773,,400165,7354,,94828,,/m/026cww,,http://ralphhall.house.gov,,,False,,,,8,,,,2016-06-14 16:31:21 -0400,ocd-division/country:us/state:tx/cd:4,,,,TX,4,False,4804,,,
H000074,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000074.,Tony,P.,Hall,,1942-01-16,M,D,,,,,400538,,,14632,,,,,,,False,,,,10,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:oh/cd:3,,,,OH,3,False,3903,,,
H000114,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000114.,Lee,H.,Hamilton,,1931-04-20,M,D,,,,,404996,,,10732,,,,,,,False,,,,24,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:in/cd:9,,,,IN,9,False,1809,,,
H000124,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000124.,John,Paul,Hammerschmidt,,1922-05-04,M,R,,,,,405006,,,11020,,,,,,,False,,,,22,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ar/cd:3,,,,AR,3,False,0503,,,
H000172,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000172.,James,V.,Hansen,,1932-08-14,M,R,,,,,400552,,,14829,,,,,,,False,,,,8,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:ut/cd:1,,,,UT,1,False,4901,,,
H000236,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000236.,Claude,,Harris,,1940-06-29,,D,,,,,405114,,,15415,,,,,,,False,,,,2,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:al/cd:7,,,,AL,7,False,0107,,,
H000323,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000323.,J. Dennis,,Hastert,,1942-01-02,M,R,,,,,400169,,,15416,,,,,,,False,,,,2,,,,2013-04-12 20:12:03 -0400,ocd-division/country:us/state:il/cd:14,,,,IL,14,False,1714,,,
H000340,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000340.,Charles,Floyd,Hatcher,,1939-07-01,M,D,,,,,405209,,,14831,,,,,,,False,,,,8,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ga/cd:2,,,,GA,2,False,1302,,,
H000367,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000367.,Augustus,Freeman,Hawkins,,1907-08-31,M,D,,,,,405236,,,10595,,,,,,,False,,,,26,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ca/cd:29,,,,CA,29,False,0629,,,
H000388,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000388.,Charles,Arthur,Hayes,,1918-02-17,M,D,,,,,405256,,,15083,,,,,,,False,,,,6,,,,2013-04-12 20:11:56 -0400,ocd-division/country:us/state:il/cd:1,,,,IL,1,False,1701,,,
H000390,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000390.,James,A.,Hayes,,1946-12-21,M,D,,,,,405258,,,15417,,,,,,,False,,,,2,,,,2013-04-12 20:11:58 -0400,ocd-division/country:us/state:la/cd:7,,,,LA,7,False,2207,,,
H000444,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000444.,Joel,,Hefley,,1935-04-18,M,R,,,,,400174,,,15418,,,,,,,False,,,,2,,,,2013-04-12 20:12:02 -0400,ocd-division/country:us/state:co/cd:5,,,,CO,5,False,0805,,,
H000448,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000448.,Bill,,Hefner,,1930-04-11,M,D,,,,,405313,,,14233,,,,,,,False,,,,14,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:nc/cd:8,,,,NC,8,False,3708,,,
H000514,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000514.,Paul,B.,Henry,,1942-07-09,M,R,,,,,405377,,,15219,,,,,,,False,,,,4,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:mi/cd:5,,,,MI,5,False,2605,,,
H000528,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000528.,Wally,,Herger,,1945-05-20,M,R,,,,RepWallyHerger,400176,12557,,15419,,,,,,,False,,,,2,,,,2016-05-03 15:22:17 -0400,ocd-division/country:us/state:ca/cd:2,,,,CA,2,False,0602,,,
H000547,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000547.,Dennis,Mark,Hertel,,1948-12-07,,D,,,,,405409,,,14833,,,,,,,False,,,,8,,,,2013-04-12 20:11:56 -0400,ocd-division/country:us/state:mi/cd:14,,,,MI,14,False,2614,,,
H000586,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000586.,John,Patrick,Hiler,,1953-04-24,M,R,,,,,405448,,,14834,,,,,,,False,,,,8,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:in/cd:3,,,,IN,3,False,1803,,,
H000670,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000670.,George,J.,Hochbrueckner,,1938-09-20,M,D,,,,,405524,,,15420,,,,,,,False,,,,2,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:ny/cd:1,,,,NY,1,False,3601,,,
H000729,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000729.,Clyde,Cecil,Holloway,,1943-11-28,,R,,,,,405580,,,15421,,,,,,,False,,,,2,,,,2013-04-12 20:11:56 -0400,ocd-division/country:us/state:la/cd:8,,,,LA,8,False,2208,,,
H000776,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000776.,Larry,Jones,Hopkins,,1933-10-25,,R,,,,,405626,,,14635,,,,,,,False,,,,10,,,,2013-04-12 20:11:56 -0400,ocd-division/country:us/state:ky/cd:6,,,,KY,6,False,2106,,,
H000797,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000797.,Frank,Jefferson,Horton,,1919-12-12,M,R,,,,,405646,,,10596,,,,,,,False,,,,26,,,,2013-04-12 20:11:56 -0400,ocd-division/country:us/state:ny/cd:29,,,,NY,29,False,3629,,,
H000814,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000814.,Amory,,Houghton,,1926-08-07,M,R,,,,,400188,,,15422,,,,,,,False,,,,2,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:ny/cd:34,,,,NY,34,False,3634,,,
