english,punjabi
sugar,ਖੰਡ
suggest,ਸੁਝਾਅ
suit,ਮੁਕੱਦਮੇ
summer,ਗਰਮੀ ਦੇ
sun,ਸੂਰਜ ਦੀ
supply,ਦੀ ਸਪਲਾਈ
support,ਸਹਿਯੋਗ ਨੂੰ
sure,ਇਹ ਯਕੀਨੀ
surface,ਸਤਹ
surprise,ਹੈਰਾਨੀ
swim,ਤੈਰਾਕੀ
syllable,ਿਸਹਾਰੀ
symbol,ਪ੍ਰਤੀਕ
system,ਸਿਸਟਮ ਨੂੰ
table,ਸਾਰਣੀ ਵਿੱਚ
tail,ਪੂਛ
take,ਲੈ
talk,ਦੇ ਭਾਸ਼ਣ
tall,ਲੰਬਾ
teach,ਨੂੰ ਸਿੱਖਿਆ
team,ਦੀ ਟੀਮ
teeth,ਦੰਦ
tell,ਨੂੰ ਦੱਸ
temperature,ਤਾਪਮਾਨ ਦਾ
ten,ਦਸ
term,ਦੀ ਮਿਆਦ
test,ਦਾ ਟੈਸਟ
than,ਵੱਧ
thank,ਧੰਨਵਾਦ
that,", ਜੋ ਕਿ"
the,the
their,ਆਪਣੇ
them,ਨੂੰ
then,ਫਿਰ
there,ਉੱਥੇ
these,ਇਹ
they,ਉਹ
thick,ਮੋਟੀ
thin,ਪਤਲੇ
thing,ਗੱਲ ਇਹ ਹੈ ਕਿ
think,ਸੋਚਦੇ
third,"ਤੀਜਾ,"
this,ਇਸ ਨੂੰ
those,ਜਿਹੜੇ
though,ਪਰ
thought,ਸੋਚਿਆ
thousand,ਹਜ਼ਾਰ
three,ਤਿੰਨ
through,ਦੁਆਰਾ
throw,ਸੁੱਟ
thus,ਇਸ ਪ੍ਰਕਾਰ
tie,ਟਾਈ
time,ਵਾਰ
tiny,ਛੋਟੇ
tire,ਟਾਇਰ
to,ਨੂੰ
together,ਇਕੱਠੇ ਹੋ ਕੇ
told,ਨੂੰ ਦੱਸਿਆ ਕਿ
tone,ਟੋਨ
too,ਨੂੰ ਵੀ
took,ਲੈ ਲਿਆ
tool,ਸੰਦ ਹੈ
top,ਚੋਟੀ ਦੇ
total,ਕੁੱਲ
touch,ਨੂੰ ਛੂਹ
toward,ਵੱਲ
town,ਕਸਬੇ
track,ਟਰੈਕ
trade,ਵਪਾਰ
train,ਰੇਲ ਗੱਡੀ
travel,ਯਾਤਰਾ
tree,ਰੁੱਖ ਨੂੰ
triangle,ਤਿਕੋਣ
trip,ਦਾ ਦੌਰਾ
trouble,ਸਮੱਸਿਆ ਹੈ
truck,ਟਰੱਕ
true,"ਸੱਚ ਹੈ,"
try,ਕੋਸ਼ਿਸ਼ ਕਰੋ
tube,ਟਿਊਬ
turn,ਵਾਰੀ
twenty,ਵੀਹ
two,ਦੇ ਦੋ
type,ਦੀ ਕਿਸਮ
under,ਹੇਠ
unit,ਯੂਨਿਟ ਨੂੰ
until,ਜਦ ਤੱਕ
up,ਅਪ
us,ਸਾਡੇ ਨਾਲ
use,ਵਰਤਣ
usual,ਆਮ
valley,ਘਾਟੀ
value,ਮੁੱਲ ਨੂੰ
vary,ਵੱਖ ਵੱਖ
verb,ਕ੍ਰਿਆ
very,ਬਹੁਤ ਹੀ
view,ਝਲਕ
village,ਪਿੰਡ ਦੇ
visit,ਦੌਰੇ ਨੂੰ
voice,ਦੀ ਆਵਾਜ਼
vowel,ਸ੍ਵਰ
wait,ਉਡੀਕ ਕਰੋ
walk,ਤੁਰ
wall,ਕੰਧ
want,ਚਾਹੁੰਦੇ
war,ਜੰਗ ਦੇ
warm,ਨਿੱਘਾ
was,"ਸੀ,"
wash,ਧੋਣ
watch,ਜਾਗ
water,ਪਾਣੀ ਦੀ
wave,ਲਹਿਰ
way,ਤਰੀਕਾ ਹੈ
we,ਸਾਨੂੰ
wear,ਪਹਿਨਣ
weather,ਮੌਸਮ ’
week,ਹਫ਼ਤੇ ਦੇ
weight,ਦਾ ਭਾਰ
well,ਨਾਲ ਨਾਲ
went,ਚਲਾ ਗਿਆ
were,ਸਨ
west,ਪੱਛਮ
what,ਕੀ ਹੈ
wheel,ਚੱਕਰ
when,ਜਦ
where,ਜਿੱਥੇ ਕਿ
whether,ਕੀ
which,", ਜੋ ਕਿ"
while,ਜਦਕਿ
white,"ਚਿੱਟੇ,"
who,ਜੋ
whole,ਸਾਰੀ
whose,ਜਿਸ ਦੇ
why,ਇਸੇ
wide,ਚੌੜਾ
wife,ਪਤਨੀ ਨੂੰ
wild,ਜੰਗਲੀ
will,ਕਰੇਗਾ
win,ਜਿੱਤ
wind,ਹਵਾ
window,ਵਿੰਡੋ ਨੂੰ
wing,ਵਿੰਗ
winter,ਸਰਦੀ
wire,ਤਾਰ
wish,"ਚਾਹੁੰਦੇ ਹੋ,"
with,ਦੇ ਨਾਲ
woman,ਔਰਤ ਨੂੰ
women,ਮਹਿਲਾ
wonder,ਹੈਰਾਨ
won’t,ਨਾ ਕਰੇਗਾ
wood,ਲੱਕੜ ਦੇ
word,ਸ਼ਬਦ ਨੂੰ
work,ਕੰਮ ਦਾ
world,ਸੰਸਾਰ ਨੂੰ
would,ਸੀ
write,ਲਿਖਣ ਦੀ
written,ਲਿਖਿਆ
wrong,ਗਲਤ ਹੈ
wrote,ਨੇ ਲਿਖਿਆ
yard,ਯਾਰਡ
year,ਸਾਲ ਦੇ
yellow,ਪੀਲੇ
yes,ਜੀ
yet,ਹਾਲੇ ਤੱਕ
you,ਤੁਹਾਨੂੰ
young,ਨੌਜਵਾਨ
your,ਤੁਹਾਡੇ
