english,kannada
truck,ಟ್ರಕ್
true,ನಿಜ
try,ಪ್ರಯತ್ನಿಸಿ
tube,ಟ್ಯೂಬ್
turn,ತಿರುವು
twenty,ಇಪ್ಪತ್ತು
two,ಎರಡು
type,ಮಾದರಿ
under,ಅಡಿಯಲ್ಲಿ
unit,ಘಟಕ
until,ರವರೆಗೆ
up,ಅಪ್
us,ನಮಗೆ
use,ಬಳಕೆ
usual,ಸಾಮಾನ್ಯ
valley,ಕಣಿವೆಯ
value,ಮೌಲ್ಯ
vary,ಬದಲಾಗುತ್ತವೆ
verb,ಕ್ರಿಯಾಪದ
very,ಅತ್ಯಂತ
view,ವೀಕ್ಷಿಸಿ
village,ಹಳ್ಳಿಯ
visit,ಭೇಟಿ
voice,ಧ್ವನಿ
vowel,ಸ್ವರ
wait,ನಿರೀಕ್ಷಿಸಿ
walk,ನಡೆಯಲು
wall,ಗೋಡೆಯ
want,ಬಯಸುವ
war,ಯುದ್ಧ
warm,ಬೆಚ್ಚಗಿನ
was,ಆಗಿತ್ತು
wash,ಮುಖ
watch,ವೀಕ್ಷಿಸಲು
water,ನೀರಿನ
wave,ತರಂಗ
way,ರೀತಿಯಲ್ಲಿ
we,ನಾವು
wear,ಭಾಷೆಗಳು
weather,ಹವಾಮಾನ
week,ವಾರ
weight,ತೂಕದ
well,ಹಾಗೂ
went,ಹೋದರು
were,ಎಂದು
west,ಪಶ್ಚಿಮ
what,ಏನು
wheel,ಚಕ್ರ
when,ಯಾವಾಗ
where,ಎಲ್ಲಿ
whether,ಎಂಬುದನ್ನು
which,ಇದು
while,ಹಾಗೆಯೇ
white,ಬಿಳಿ
who,ಯಾರು
whole,ಇಡೀ
whose,ಅವರ
why,ಏಕೆ
wide,ವ್ಯಾಪಕ
wife,ಪತ್ನಿ
wild,ಕಾಡು
will,ತಿನ್ನುವೆ
win,ಗೆಲುವು
wind,ಗಾಳಿ
window,ವಿಂಡೋ
wing,ರೆಕ್ಕೆ
winter,ಚಳಿಗಾಲದ
wire,ತಂತಿ
wish,ಬಯಸುವ
with,ಜೊತೆ
woman,ಮಹಿಳೆ
women,ಮಹಿಳೆಯರು
wonder,ಆಶ್ಚರ್ಯ
won’t,ತಿನ್ನುವೆ
wood,ಮರದ
word,ಪದ
work,ಕೆಲಸ
world,ವಿಶ್ವದ
would,ಎಂದು
write,ಬರೆಯಲು
written,ಬರೆದ
wrong,ತಪ್ಪು
wrote,ಬರೆದ
yard,ಹೊಲದಲ್ಲಿ
year,ವರ್ಷ
yellow,ಹಳದಿ
yes,ಹೌದು
yet,ಇನ್ನೂ
you,ನೀವು
young,ಯುವ
your,ನಿಮ್ಮ
