id,name,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,total_base_stat,is_legendary,generation
452,drapion,poison,dark,70,90,110,60,75,95,500,False,4
453,croagunk,poison,fighting,48,61,40,61,40,50,300,False,4
454,toxicroak,poison,fighting,83,106,65,86,65,85,490,False,4
455,carnivine,grass,,74,100,72,90,72,46,454,False,4
456,finneon,water,,49,49,56,49,61,66,330,False,4
457,lumineon,water,,69,69,76,69,86,91,460,False,4
458,mantyke,water,flying,45,20,50,60,120,50,345,False,4
459,snover,grass,ice,60,62,50,62,60,40,334,False,4
460,abomasnow,grass,ice,90,92,75,92,85,60,494,False,4
461,weavile,dark,ice,70,120,65,45,85,125,510,False,4
462,magnezone,electric,steel,70,70,115,130,90,60,535,False,4
463,lickilicky,normal,,110,85,95,80,95,50,515,False,4
464,rhyperior,ground,rock,115,140,130,55,55,40,535,False,4
465,tangrowth,grass,,100,100,125,110,50,50,535,False,4
466,electivire,electric,,75,123,67,95,85,95,540,False,4
467,magmortar,fire,,75,95,67,125,95,83,540,False,4
468,togekiss,fairy,flying,85,50,95,120,115,80,545,False,4
469,yanmega,bug,flying,86,76,86,116,56,95,515,False,4
470,leafeon,grass,,65,110,130,60,65,95,525,False,4
471,glaceon,ice,,65,60,110,130,95,65,525,False,4
472,gliscor,ground,flying,75,95,125,45,75,95,510,False,4
473,mamoswine,ice,ground,110,130,80,70,60,80,530,False,4
474,porygon-z,normal,,85,80,70,135,75,90,535,False,4
475,gallade,psychic,fighting,68,125,65,65,115,80,518,False,4
476,probopass,rock,steel,60,55,145,75,150,40,525,False,4
477,dusknoir,ghost,,45,100,135,65,135,45,525,False,4
478,froslass,ice,ghost,70,80,70,80,70,110,480,False,4
479,rotom,electric,ghost,50,50,77,95,77,91,440,False,4
480,uxie,psychic,,75,75,130,75,130,95,580,True,4
481,mesprit,psychic,,80,105,105,105,105,80,580,True,4
482,azelf,psychic,,75,125,70,125,70,115,580,True,4
483,dialga,steel,dragon,100,120,120,150,100,90,680,True,4
484,palkia,water,dragon,90,120,100,150,120,100,680,True,4
485,heatran,fire,steel,91,90,106,130,106,77,600,True,4
486,regigigas,normal,,110,160,110,80,110,100,670,True,4
487,giratina-altered,ghost,dragon,150,100,120,100,120,90,680,True,4
488,cresselia,psychic,,120,70,120,75,130,85,600,True,4
489,phione,water,,80,80,80,80,80,80,480,False,4
490,manaphy,water,,100,100,100,100,100,100,600,False,4
491,darkrai,dark,,70,90,90,135,90,125,600,False,4
492,shaymin-land,grass,,100,100,100,100,100,100,600,False,4
493,arceus,normal,,120,120,120,120,120,120,720,False,4
494,victini,psychic,fire,100,100,100,100,100,100,600,False,5
495,snivy,grass,,45,45,55,45,55,63,308,False,5
496,servine,grass,,60,60,75,60,75,83,413,False,5
497,serperior,grass,,75,75,95,75,95,113,528,False,5
498,tepig,fire,,65,63,45,45,45,45,308,False,5
499,pignite,fire,fighting,90,93,55,70,55,55,418,False,5
500,emboar,fire,fighting,110,123,65,100,65,65,528,False,5
501,oshawott,water,,55,55,45,63,45,45,308,False,5
502,dewott,water,,75,75,60,83,60,60,413,False,5
503,samurott,water,,95,100,85,108,70,70,528,False,5
504,patrat,normal,,45,55,39,35,39,42,255,False,5
505,watchog,normal,,60,85,69,60,69,77,420,False,5
506,lillipup,normal,,45,60,45,25,45,55,275,False,5
507,herdier,normal,,65,80,65,35,65,60,370,False,5
508,stoutland,normal,,85,110,90,45,90,80,500,False,5
509,purrloin,dark,,41,50,37,50,37,66,281,False,5
510,liepard,dark,,64,88,50,88,50,106,446,False,5
511,pansage,grass,,50,53,48,53,48,64,316,False,5
512,simisage,grass,,75,98,63,98,63,101,498,False,5
513,pansear,fire,,50,53,48,53,48,64,316,False,5
514,simisear,fire,,75,98,63,98,63,101,498,False,5
515,panpour,water,,50,53,48,53,48,64,316,False,5
516,simipour,water,,75,98,63,98,63,101,498,False,5
517,munna,psychic,,76,25,45,67,55,24,292,False,5
518,musharna,psychic,,116,55,85,107,95,29,487,False,5
519,pidove,normal,flying,50,55,50,36,30,43,264,False,5
520,tranquill,normal,flying,62,77,62,50,42,65,358,False,5
521,unfezant,normal,flying,80,115,80,65,55,93,488,False,5
522,blitzle,electric,,45,60,32,50,32,76,295,False,5
523,zebstrika,electric,,75,100,63,80,63,116,497,False,5
524,roggenrola,rock,,55,75,85,25,25,15,280,False,5
525,boldore,rock,,70,105,105,50,40,20,390,False,5
526,gigalith,rock,,85,135,130,60,80,25,515,False,5
527,woobat,psychic,flying,65,45,43,55,43,72,323,False,5
528,swoobat,psychic,flying,67,57,55,77,55,114,425,False,5
529,drilbur,ground,,60,85,40,30,45,68,328,False,5
530,excadrill,ground,steel,110,135,60,50,65,88,508,False,5
531,audino,normal,,103,60,86,60,86,50,445,False,5
532,timburr,fighting,,75,80,55,25,35,35,305,False,5
533,gurdurr,fighting,,85,105,85,40,50,40,405,False,5
534,conkeldurr,fighting,,105,140,95,55,65,45,505,False,5
535,tympole,water,,50,50,40,50,40,64,294,False,5
536,palpitoad,water,ground,75,65,55,65,55,69,384,False,5
537,seismitoad,water,ground,105,95,75,85,75,74,509,False,5
538,throh,fighting,,120,100,85,30,85,45,465,False,5
539,sawk,fighting,,75,125,75,30,75,85,465,False,5
540,sewaddle,bug,grass,45,53,70,40,60,42,310,False,5
541,swadloon,bug,grass,55,63,90,50,80,42,380,False,5
542,leavanny,bug,grass,75,103,80,70,80,92,500,False,5
543,venipede,bug,poison,30,45,59,30,39,57,260,False,5
544,whirlipede,bug,poison,40,55,99,40,79,47,360,False,5
545,scolipede,bug,poison,60,100,89,55,69,112,485,False,5
546,cottonee,grass,fairy,40,27,60,37,50,66,280,False,5
547,whimsicott,grass,fairy,60,67,85,77,75,116,480,False,5
548,petilil,grass,,45,35,50,70,50,30,280,False,5
549,lilligant,grass,,70,60,75,110,75,90,480,False,5
550,basculin-red-striped,water,,70,92,65,80,55,98,460,False,5
551,sandile,ground,dark,50,72,35,35,35,65,292,False,5
552,krokorok,ground,dark,60,82,45,45,45,74,351,False,5
553,krookodile,ground,dark,95,117,80,65,70,92,519,False,5
554,darumaka,fire,,70,90,45,15,45,50,315,False,5
555,darmanitan-standard,fire,,105,140,55,30,55,95,480,False,5
556,maractus,grass,,75,86,67,106,67,60,461,False,5
557,dwebble,bug,rock,50,65,85,35,35,55,325,False,5
558,crustle,bug,rock,70,105,125,65,75,45,485,False,5
559,scraggy,dark,fighting,50,75,70,35,70,48,348,False,5
560,scrafty,dark,fighting,65,90,115,45,115,58,488,False,5
561,sigilyph,psychic,flying,72,58,80,103,80,97,490,False,5
562,yamask,ghost,,38,30,85,55,65,30,303,False,5
563,cofagrigus,ghost,,58,50,145,95,105,30,483,False,5
564,tirtouga,water,rock,54,78,103,53,45,22,355,False,5
565,carracosta,water,rock,74,108,133,83,65,32,495,False,5
566,archen,rock,flying,55,112,45,74,45,70,401,False,5
567,archeops,rock,flying,75,140,65,112,65,110,567,False,5
568,trubbish,poison,,50,50,62,40,62,65,329,False,5
569,garbodor,poison,,80,95,82,60,82,75,474,False,5
570,zorua,dark,,40,65,40,80,40,65,330,False,5
571,zoroark,dark,,60,105,60,120,60,105,510,False,5
572,minccino,normal,,55,50,40,40,40,75,300,False,5
573,cinccino,normal,,75,95,60,65,60,115,470,False,5
574,gothita,psychic,,45,30,50,55,65,45,290,False,5
575,gothorita,psychic,,60,45,70,75,85,55,390,False,5
576,gothitelle,psychic,,70,55,95,95,110,65,490,False,5
577,solosis,psychic,,45,30,40,105,50,20,290,False,5
578,duosion,psychic,,65,40,50,125,60,30,370,False,5
579,reuniclus,psychic,,110,65,75,125,85,30,490,False,5
580,ducklett,water,flying,62,44,50,44,50,55,305,False,5
581,swanna,water,flying,75,87,63,87,63,98,473,False,5
582,vanillite,ice,,36,50,50,65,60,44,305,False,5
583,vanillish,ice,,51,65,65,80,75,59,395,False,5
584,vanilluxe,ice,,71,95,85,110,95,79,535,False,5
585,deerling,normal,grass,60,60,50,40,50,75,335,False,5
586,sawsbuck,normal,grass,80,100,70,60,70,95,475,False,5
587,emolga,electric,flying,55,75,60,75,60,103,428,False,5
588,karrablast,bug,,50,75,45,40,45,60,315,False,5
589,escavalier,bug,steel,70,135,105,60,105,20,495,False,5
590,foongus,grass,poison,69,55,45,55,55,15,294,False,5
591,amoonguss,grass,poison,114,85,70,85,80,30,464,False,5
592,frillish,water,ghost,55,40,50,65,85,40,335,False,5
593,jellicent,water,ghost,100,60,70,85,105,60,480,False,5
594,alomomola,water,,165,75,80,40,45,65,470,False,5
595,joltik,bug,electric,50,47,50,57,50,65,319,False,5
596,galvantula,bug,electric,70,77,60,97,60,108,472,False,5
597,ferroseed,grass,steel,44,50,91,24,86,10,305,False,5
598,ferrothorn,grass,steel,74,94,131,54,116,20,489,False,5
599,klink,steel,,40,55,70,45,60,30,300,False,5
600,klang,steel,,60,80,95,70,85,50,440,False,5
601,klinklang,steel,,60,100,115,70,85,90,520,False,5
602,tynamo,electric,,35,55,40,45,40,60,275,False,5
603,eelektrik,electric,,65,85,70,75,70,40,405,False,5
604,eelektross,electric,,85,115,80,105,80,50,515,False,5
605,elgyem,psychic,,55,55,55,85,55,30,335,False,5
606,beheeyem,psychic,,75,75,75,125,95,40,485,False,5
607,litwick,ghost,fire,50,30,55,65,55,20,275,False,5
608,lampent,ghost,fire,60,40,60,95,60,55,370,False,5
609,chandelure,ghost,fire,60,55,90,145,90,80,520,False,5
610,axew,dragon,,46,87,60,30,40,57,320,False,5
611,fraxure,dragon,,66,117,70,40,50,67,410,False,5
612,haxorus,dragon,,76,147,90,60,70,97,540,False,5
613,cubchoo,ice,,55,70,40,60,40,40,305,False,5
614,beartic,ice,,95,130,80,70,80,50,505,False,5
615,cryogonal,ice,,80,50,50,95,135,105,515,False,5
616,shelmet,bug,,50,40,85,40,65,25,305,False,5
617,accelgor,bug,,80,70,40,100,60,145,495,False,5
618,stunfisk,ground,electric,109,66,84,81,99,32,471,False,5
619,mienfoo,fighting,,45,85,50,55,50,65,350,False,5
620,mienshao,fighting,,65,125,60,95,60,105,510,False,5
621,druddigon,dragon,,77,120,90,60,90,48,485,False,5
622,golett,ground,ghost,59,74,50,35,50,35,303,False,5
623,golurk,ground,ghost,89,124,80,55,80,55,483,False,5
624,pawniard,dark,steel,45,85,70,40,40,60,340,False,5
625,bisharp,dark,steel,65,125,100,60,70,70,490,False,5
626,bouffalant,normal,,95,110,95,40,95,55,490,False,5
627,rufflet,normal,flying,70,83,50,37,50,60,350,False,5
628,braviary,normal,flying,100,123,75,57,75,80,510,False,5
629,vullaby,dark,flying,70,55,75,45,65,60,370,False,5
630,mandibuzz,dark,flying,110,65,105,55,95,80,510,False,5
631,heatmor,fire,,85,97,66,105,66,65,484,False,5
632,durant,bug,steel,58,109,112,48,48,109,484,False,5
633,deino,dark,dragon,52,65,50,45,50,38,300,False,5
634,zweilous,dark,dragon,72,85,70,65,70,58,420,False,5
635,hydreigon,dark,dragon,92,105,90,125,90,98,600,False,5
636,larvesta,bug,fire,55,85,55,50,55,60,360,False,5
637,volcarona,bug,fire,85,60,65,135,105,100,550,False,5
638,cobalion,steel,fighting,91,90,129,90,72,108,580,True,5
639,terrakion,rock,fighting,91,129,90,72,90,108,580,True,5
640,virizion,grass,fighting,91,90,72,90,129,108,580,True,5
641,tornadus-incarnate,flying,,79,115,70,125,80,111,580,True,5
642,thundurus-incarnate,electric,flying,79,115,70,125,80,111,580,True,5
643,reshiram,dragon,fire,100,120,100,150,120,90,680,True,5
644,zekrom,dragon,electric,100,150,120,120,100,90,680,True,5
645,landorus-incarnate,ground,flying,89,125,90,115,80,101,600,True,5
646,kyurem,dragon,ice,125,130,90,130,90,95,660,True,5
647,keldeo-ordinary,water,fighting,91,72,90,129,90,108,580,False,5
648,meloetta-aria,normal,psychic,100,77,77,128,128,90,600,False,5
649,genesect,bug,steel,71,120,95,120,95,99,600,False,5
650,chespin,grass,,56,61,65,48,45,38,313,False,6
651,quilladin,grass,,61,78,95,56,58,57,405,False,6
652,chesnaught,grass,fighting,88,107,122,74,75,64,530,False,6
653,fennekin,fire,,40,45,40,62,60,60,307,False,6
654,braixen,fire,,59,59,58,90,70,73,409,False,6
655,delphox,fire,psychic,75,69,72,114,100,104,534,False,6
656,froakie,water,,41,56,40,62,44,71,314,False,6
657,frogadier,water,,54,63,52,83,56,97,405,False,6
658,greninja,water,dark,72,95,67,103,71,122,530,False,6
659,bunnelby,normal,,38,36,38,32,36,57,237,False,6
660,diggersby,normal,ground,85,56,77,50,77,78,423,False,6
661,fletchling,normal,flying,45,50,43,40,38,62,278,False,6
662,fletchinder,fire,flying,62,73,55,56,52,84,382,False,6
663,talonflame,fire,flying,78,81,71,74,69,126,499,False,6
664,scatterbug,bug,,38,35,40,27,25,35,200,False,6
665,spewpa,bug,,45,22,60,27,30,29,213,False,6
666,vivillon,bug,flying,80,52,50,90,50,89,411,False,6
667,litleo,fire,normal,62,50,58,73,54,72,369,False,6
668,pyroar,fire,normal,86,68,72,109,66,106,507,False,6
669,flabebe,fairy,,44,38,39,61,79,42,303,False,6
670,floette,fairy,,54,45,47,75,98,52,371,False,6
671,florges,fairy,,78,65,68,112,154,75,552,False,6
672,skiddo,grass,,66,65,48,62,57,52,350,False,6
673,gogoat,grass,,123,100,62,97,81,68,531,False,6
674,pancham,fighting,,67,82,62,46,48,43,348,False,6
675,pangoro,fighting,dark,95,124,78,69,71,58,495,False,6
676,furfrou,normal,,75,80,60,65,90,102,472,False,6
677,espurr,psychic,,62,48,54,63,60,68,355,False,6
678,meowstic-male,psychic,,74,48,76,83,81,104,466,False,6
679,honedge,steel,ghost,45,80,100,35,37,28,325,False,6
680,doublade,steel,ghost,59,110,150,45,49,35,448,False,6
681,aegislash-shield,steel,ghost,60,50,140,50,140,60,500,False,6
682,spritzee,fairy,,78,52,60,63,65,23,341,False,6
683,aromatisse,fairy,,101,72,72,99,89,29,462,False,6
684,swirlix,fairy,,62,48,66,59,57,49,341,False,6
685,slurpuff,fairy,,82,80,86,85,75,72,480,False,6
686,inkay,dark,psychic,53,54,53,37,46,45,288,False,6
687,malamar,dark,psychic,86,92,88,68,75,73,482,False,6
688,binacle,rock,water,42,52,67,39,56,50,306,False,6
689,barbaracle,rock,water,72,105,115,54,86,68,500,False,6
690,skrelp,poison,water,50,60,60,60,60,30,320,False,6
691,dragalge,poison,dragon,65,75,90,97,123,44,494,False,6
692,clauncher,water,,50,53,62,58,63,44,330,False,6
693,clawitzer,water,,71,73,88,120,89,59,500,False,6
694,helioptile,electric,normal,44,38,33,61,43,70,289,False,6
695,heliolisk,electric,normal,62,55,52,109,94,109,481,False,6
696,tyrunt,rock,dragon,58,89,77,45,45,48,362,False,6
697,tyrantrum,rock,dragon,82,121,119,69,59,71,521,False,6
698,amaura,rock,ice,77,59,50,67,63,46,362,False,6
699,aurorus,rock,ice,123,77,72,99,92,58,521,False,6
700,sylveon,fairy,,95,65,65,110,130,60,525,False,6
701,hawlucha,fighting,flying,78,92,75,74,63,118,500,False,6
702,dedenne,electric,fairy,67,58,57,81,67,101,431,False,6
703,carbink,rock,fairy,50,50,150,50,150,50,500,False,6
704,goomy,dragon,,45,50,35,55,75,40,300,False,6
705,sliggoo,dragon,,68,75,53,83,113,60,452,False,6
706,goodra,dragon,,90,100,70,110,150,80,600,False,6
707,klefki,steel,fairy,57,80,91,80,87,75,470,False,6
708,phantump,ghost,grass,43,70,48,50,60,38,309,False,6
709,trevenant,ghost,grass,85,110,76,65,82,56,474,False,6
710,pumpkaboo-average,ghost,grass,49,66,70,44,55,51,335,False,6
711,gourgeist-average,ghost,grass,65,90,122,58,75,84,494,False,6
712,bergmite,ice,,55,69,85,32,35,28,304,False,6
713,avalugg,ice,,95,117,184,44,46,28,514,False,6
714,noibat,flying,dragon,40,30,35,45,40,55,245,False,6
715,noivern,flying,dragon,85,70,80,97,80,123,535,False,6
716,xerneas,fairy,,126,131,95,131,98,99,680,True,6
717,yveltal,dark,flying,126,131,95,131,98,99,680,True,6
718,zygarde-50,dragon,ground,108,100,121,81,95,95,600,True,6
719,diancie,rock,fairy,50,100,150,100,150,50,600,False,6
720,hoopa,psychic,ghost,80,110,60,150,130,70,600,False,6
721,volcanion,fire,water,80,110,120,130,90,70,600,False,6
722,rowlet,grass,flying,68,55,55,50,50,42,320,False,7
723,dartrix,grass,flying,78,75,75,70,70,52,420,False,7
724,decidueye,grass,ghost,78,107,75,100,100,70,530,False,7
725,litten,fire,,45,65,40,60,40,70,320,False,7
726,torracat,fire,,65,85,50,80,50,90,420,False,7
727,incineroar,fire,dark,95,115,90,80,90,60,530,False,7
728,popplio,water,,50,54,54,66,56,40,320,False,7
729,brionne,water,,60,69,69,91,81,50,420,False,7
730,primarina,water,fairy,80,74,74,126,116,60,530,False,7
731,pikipek,normal,flying,35,75,30,30,30,65,265,False,7
732,trumbeak,normal,flying,55,85,50,40,50,75,355,False,7
733,toucannon,normal,flying,80,120,75,75,75,60,485,False,7
734,yungoos,normal,,48,70,30,30,30,45,253,False,7
735,gumshoos,normal,,88,110,60,55,60,45,418,False,7
736,grubbin,bug,,47,62,45,55,45,46,300,False,7
737,charjabug,bug,electric,57,82,95,55,75,36,400,False,7
738,vikavolt,bug,electric,77,70,90,145,75,43,500,False,7
739,crabrawler,fighting,,47,82,57,42,47,63,338,False,7
740,crabominable,fighting,ice,97,132,77,62,67,43,478,False,7
741,oricorio-baile,fire,flying,75,70,70,98,70,93,476,False,7
742,cutiefly,bug,fairy,40,45,40,55,40,84,304,False,7
743,ribombee,bug,fairy,60,55,60,95,70,124,464,False,7
744,rockruff,rock,,45,65,40,30,40,60,280,False,7
745,lycanroc-midday,rock,,75,115,65,55,65,112,487,False,7
746,wishiwashi-solo,water,,45,20,20,25,25,40,175,False,7
747,mareanie,poison,water,50,53,62,43,52,45,305,False,7
748,toxapex,poison,water,50,63,152,53,142,35,495,False,7
749,mudbray,ground,,70,100,70,45,55,45,385,False,7
750,mudsdale,ground,,100,125,100,55,85,35,500,False,7
751,dewpider,water,bug,38,40,52,40,72,27,269,False,7
752,araquanid,water,bug,68,70,92,50,132,42,454,False,7
753,fomantis,grass,,40,55,35,50,35,35,250,False,7
754,lurantis,grass,,70,105,90,80,90,45,480,False,7
755,morelull,grass,fairy,40,35,55,65,75,15,285,False,7
756,shiinotic,grass,fairy,60,45,80,90,100,30,405,False,7
757,salandit,poison,fire,48,44,40,71,40,77,320,False,7
758,salazzle,poison,fire,68,64,60,111,60,117,480,False,7
759,stufful,normal,fighting,70,75,50,45,50,50,340,False,7
760,bewear,normal,fighting,120,125,80,55,60,60,500,False,7
761,bounsweet,grass,,42,30,38,30,38,32,210,False,7
762,steenee,grass,,52,40,48,40,48,62,290,False,7
763,tsareena,grass,,72,120,98,50,98,72,510,False,7
764,comfey,fairy,,51,52,90,82,110,100,485,False,7
765,oranguru,normal,psychic,90,60,80,90,110,60,490,False,7
766,passimian,fighting,,100,120,90,40,60,80,490,False,7
767,wimpod,bug,water,25,35,40,20,30,80,230,False,7
768,golisopod,bug,water,75,125,140,60,90,40,530,False,7
769,sandygast,ghost,ground,55,55,80,70,45,15,320,False,7
770,palossand,ghost,ground,85,75,110,100,75,35,480,False,7
771,pyukumuku,water,,55,60,130,30,130,5,410,False,7
772,type-null,normal,,95,95,95,95,95,59,534,False,7
773,silvally,normal,,95,95,95,95,95,95,570,True,7
774,minior-red-meteor,rock,flying,60,60,100,60,100,60,440,False,7
775,komala,normal,,65,115,65,75,95,65,480,False,7
776,turtonator,fire,dragon,60,78,135,91,85,36,485,False,7
777,togedemaru,electric,steel,65,98,63,40,73,96,435,False,7
778,mimikyu-disguised,ghost,fairy,55,90,80,50,105,96,476,False,7
779,bruxish,water,psychic,68,105,70,70,70,92,475,False,7
780,drampa,normal,dragon,78,60,85,135,91,36,485,False,7
781,dhelmise,ghost,grass,70,131,100,86,90,40,517,False,7
782,jangmo-o,dragon,,45,55,65,45,45,45,300,False,7
783,hakamo-o,dragon,fighting,55,75,90,65,70,65,420,False,7
784,kommo-o,dragon,fighting,75,110,125,100,105,85,600,False,7
785,tapu-koko,electric,fairy,70,115,85,95,75,130,570,True,7
786,tapu-lele,psychic,fairy,70,85,75,130,115,95,570,True,7
787,tapu-bulu,grass,fairy,70,130,115,85,95,75,570,True,7
788,tapu-fini,water,fairy,70,75,115,95,130,85,570,True,7
789,cosmog,psychic,,43,29,31,29,31,37,200,True,7
790,cosmoem,psychic,,43,29,131,29,131,37,400,True,7
791,solgaleo,psychic,steel,137,137,107,113,89,97,680,True,7
792,lunala,psychic,ghost,137,113,89,137,107,97,680,True,7
793,nihilego,rock,poison,109,53,47,127,131,103,570,False,7
794,buzzwole,bug,fighting,107,139,139,53,53,79,570,False,7
795,pheromosa,bug,fighting,71,137,37,137,37,151,570,False,7
796,xurkitree,electric,,83,89,71,173,71,83,570,False,7
797,celesteela,steel,flying,97,101,103,107,101,61,570,False,7
798,kartana,grass,steel,59,181,131,59,31,109,570,False,7
799,guzzlord,dark,dragon,223,101,53,97,53,43,570,False,7
800,necrozma,psychic,,97,107,101,127,89,79,600,True,7
801,magearna,steel,fairy,80,95,115,130,115,65,600,False,7
802,marshadow,fighting,ghost,90,125,80,90,90,125,600,False,7
803,poipole,poison,,67,73,67,73,67,73,420,False,7
804,naganadel,poison,dragon,73,73,73,127,73,121,540,False,7
805,stakataka,rock,steel,61,131,211,53,101,13,570,False,7
806,blacephalon,fire,ghost,53,127,53,151,79,107,570,False,7
807,zeraora,electric,,88,112,75,102,80,143,600,False,7
808,meltan,steel,,46,65,65,55,35,34,300,False,7
809,melmetal,steel,,135,143,143,80,65,34,600,False,7
810,grookey,grass,,50,65,50,40,40,65,310,False,8
811,thwackey,grass,,70,85,70,55,60,80,420,False,8
812,rillaboom,grass,,100,125,90,60,70,85,530,False,8
813,scorbunny,fire,,50,71,40,40,40,69,310,False,8
814,raboot,fire,,65,86,60,55,60,94,420,False,8
815,cinderace,fire,,80,116,75,65,75,119,530,False,8
816,sobble,water,,50,40,40,70,40,70,310,False,8
817,drizzile,water,,65,60,55,95,55,90,420,False,8
818,inteleon,water,,70,85,65,125,65,120,530,False,8
819,skwovet,normal,,70,55,55,35,35,25,275,False,8
820,greedent,normal,,120,95,95,55,75,20,460,False,8
821,rookidee,flying,,38,47,35,33,35,57,245,False,8
822,corvisquire,flying,,68,67,55,43,55,77,365,False,8
823,corviknight,flying,steel,98,87,105,53,85,67,495,False,8
824,blipbug,bug,,25,20,20,25,45,45,180,False,8
825,dottler,bug,psychic,50,35,80,50,90,30,335,False,8
826,orbeetle,bug,psychic,60,45,110,80,120,90,505,False,8
827,nickit,dark,,40,28,28,47,52,50,245,False,8
828,thievul,dark,,70,58,58,87,92,90,455,False,8
829,gossifleur,grass,,40,40,60,40,60,10,250,False,8
830,eldegoss,grass,,60,50,90,80,120,60,460,False,8
831,wooloo,normal,,42,40,55,40,45,48,270,False,8
832,dubwool,normal,,72,80,100,60,90,88,490,False,8
833,chewtle,water,,50,64,50,38,38,44,284,False,8
834,drednaw,water,rock,90,115,90,48,68,74,485,False,8
835,yamper,electric,,59,45,50,40,50,26,270,False,8
836,boltund,electric,,69,90,60,90,60,121,490,False,8
837,rolycoly,rock,,30,40,50,40,50,30,240,False,8
838,carkol,rock,fire,80,60,90,60,70,50,410,False,8
839,coalossal,rock,fire,110,80,120,80,90,30,510,False,8
840,applin,grass,dragon,40,40,80,40,40,20,260,False,8
841,flapple,grass,dragon,70,110,80,95,60,70,485,False,8
842,appletun,grass,dragon,110,85,80,100,80,30,485,False,8
843,silicobra,ground,,52,57,75,35,50,46,315,False,8
844,sandaconda,ground,,72,107,125,65,70,71,510,False,8
845,cramorant,flying,water,70,85,55,85,95,85,475,False,8
846,arrokuda,water,,41,63,40,40,30,66,280,False,8
847,barraskewda,water,,61,123,60,60,50,136,490,False,8
848,toxel,electric,poison,40,38,35,54,35,40,242,False,8
849,toxtricity-amped,electric,poison,75,98,70,114,70,75,502,False,8
850,sizzlipede,fire,bug,50,65,45,50,50,45,305,False,8
851,centiskorch,fire,bug,100,115,65,90,90,65,525,False,8
852,clobbopus,fighting,,50,68,60,50,50,32,310,False,8
853,grapploct,fighting,,80,118,90,70,80,42,480,False,8
854,sinistea,ghost,,40,45,45,74,54,50,308,False,8
855,polteageist,ghost,,60,65,65,134,114,70,508,False,8
856,hatenna,psychic,,42,30,45,56,53,39,265,False,8
857,hattrem,psychic,,57,40,65,86,73,49,370,False,8
858,hatterene,psychic,fairy,57,90,95,136,103,29,510,False,8
859,impidimp,dark,fairy,45,45,30,55,40,50,265,False,8
860,morgrem,dark,fairy,65,60,45,75,55,70,370,False,8
861,grimmsnarl,dark,fairy,95,120,65,95,75,60,510,False,8
862,obstagoon,dark,normal,93,90,101,60,81,95,520,False,8
863,perrserker,steel,,70,110,100,50,60,50,440,False,8
864,cursola,ghost,,60,95,50,145,130,30,510,False,8
865,sirfetchd,fighting,,62,135,95,68,82,65,507,False,8
866,mr-rime,ice,psychic,80,85,75,110,100,70,520,False,8
867,runerigus,ground,ghost,58,95,145,50,105,30,483,False,8
868,milcery,fairy,,45,40,40,50,61,34,270,False,8
869,alcremie,fairy,,65,60,75,110,121,64,495,False,8
870,falinks,fighting,,65,100,100,70,60,75,470,False,8
871,pincurchin,electric,,48,101,95,91,85,15,435,False,8
872,snom,ice,bug,30,25,35,45,30,20,185,False,8
873,frosmoth,ice,bug,70,65,60,125,90,65,475,False,8
874,stonjourner,rock,,100,125,135,20,20,70,470,False,8
875,eiscue-ice,ice,,75,80,110,65,90,50,470,False,8
876,indeedee-male,psychic,normal,60,65,55,105,95,95,475,False,8
877,morpeko-full-belly,electric,dark,58,95,58,70,58,97,436,False,8
878,cufant,steel,,72,80,49,40,49,40,330,False,8
879,copperajah,steel,,122,130,69,80,69,30,500,False,8
880,dracozolt,electric,dragon,90,100,90,80,70,75,505,False,8
881,arctozolt,electric,ice,90,100,90,90,80,55,505,False,8
882,dracovish,water,dragon,90,90,100,70,80,75,505,False,8
883,arctovish,water,ice,90,90,100,80,90,55,505,False,8
884,duraludon,steel,dragon,70,95,115,120,50,85,535,False,8
885,dreepy,dragon,ghost,28,60,30,40,30,82,270,False,8
886,drakloak,dragon,ghost,68,80,50,60,50,102,410,False,8
887,dragapult,dragon,ghost,88,120,75,100,75,142,600,False,8
888,zacian,fairy,,92,130,115,80,115,138,670,True,8
889,zamazenta,fighting,,92,130,115,80,115,138,670,True,8
890,eternatus,poison,dragon,140,85,95,145,95,130,690,True,8
891,kubfu,fighting,,60,90,60,53,50,72,385,True,8
892,urshifu-single-strike,fighting,dark,100,130,100,63,60,97,550,True,8
893,zarude,dark,grass,105,120,105,70,95,105,600,False,8
894,regieleki,electric,,80,100,50,100,50,200,580,True,8
895,regidrago,dragon,,200,100,50,100,50,80,580,True,8
896,glastrier,ice,,100,145,130,65,110,30,580,True,8
897,spectrier,ghost,,100,65,60,145,80,130,580,True,8
898,calyrex,psychic,grass,100,80,80,80,80,80,500,True,8
899,wyrdeer,normal,psychic,103,105,72,105,75,65,525,False,8
900,kleavor,bug,rock,70,135,95,45,70,85,500,False,8
901,ursaluna,ground,normal,130,140,105,45,80,50,550,False,8
902,basculegion-male,water,ghost,120,112,65,80,75,78,530,False,8
903,sneasler,fighting,poison,80,130,60,40,80,120,510,False,8
904,overqwil,dark,poison,85,115,95,65,65,85,510,False,8
905,enamorus-incarnate,fairy,flying,74,115,70,135,80,106,580,True,8
906,sprigatito,grass,,40,61,54,45,45,65,310,False,9
907,floragato,grass,,61,80,63,60,63,83,410,False,9
908,meowscarada,grass,dark,76,110,70,81,70,123,530,False,9
909,fuecoco,fire,,67,45,59,63,40,36,310,False,9
